2016-10-10 16:45:53	admin	http://localhost/	Parse Error: 	syntax error, unexpected ')' (line 11 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 16:46:27	admin	http://localhost/	Parse Error: 	syntax error, unexpected ')' (line 11 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 16:47:38	admin	http://localhost/	Error: 	Exception: Method Page::childrens does not exist or is not callable in this context (in C:\xampp\htdocs\wire\core\Wire.php line 416)  #0 C:\xampp\htdocs\wire\core\Page.php(1475): ProcessWire\Wire->___callUnknown('childrens', Array) #1 [internal function]: ProcessWire\Page->___callUnknown('childrens', Array) #2 C:\xampp\htdocs\wire\core\Wire.php(348): call_user_func_array(Array, Array) #3 C:\xampp\htdocs\wire\core\WireHooks.php(548): ProcessWire\Wire->_callMethod('___callUnknown', Array) #4 C:\xampp\htdocs\wire\core\Wire.php(373): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Page), 'callUnknown', Array) #5 C:\xampp\htdocs\wire\core\Wire.php(374): ProcessWire\Wire->__call('callUnknown', Array) #6 C:\xampp\htdocs\wire\core\Wire.php(374): ProcessWire\Page->callUnknown('childrens', Array) #7 C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php(11): ProcessWire\Wire->__call('childrens', Array) #8 C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php(11): ProcessWire\Page->ch
2016-10-10 17:00:49	admin	http://localhost/	Parse Error: 	syntax error, unexpected 'snipcart' (T_STRING), expecting ',' or ';' (line 12 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 17:01:02	admin	http://localhost/	Parse Error: 	syntax error, unexpected end of file (line 18 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 17:01:04	admin	http://localhost/	Parse Error: 	syntax error, unexpected end of file (line 18 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 17:01:19	admin	http://localhost/	Parse Error: 	syntax error, unexpected end of file (line 18 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 17:01:36	admin	http://localhost/	Parse Error: 	syntax error, unexpected end of file (line 18 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 17:01:53	admin	http://localhost/	Parse Error: 	syntax error, unexpected end of file (line 18 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 17:02:04	admin	http://localhost/	Parse Error: 	syntax error, unexpected end of file (line 18 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
2016-10-10 17:02:07	admin	http://localhost/	Parse Error: 	syntax error, unexpected end of file (line 18 of C:\xampp\htdocs\site\assets\cache\FileCompiler\site\templates\home.php)
